	Рейтинг	Компания	Кол-во фильмов	Box office	Кол-во билетов	Процент от общего кол-ва	Год
0	1	Walt Disney	38	$1,012,034,105	232,651,499	19.04%	1995
1	2	Warner Bros.	31	$866,884,482	199,283,775	16.31%	1995
2	3	Sony Pictures	31	$682,169,140	156,820,477	12.84%	1995
3	4	Universal	21	$666,656,425	153,254,338	12.54%	1995
4	5	Paramount Pictures	21	$529,884,404	121,812,497	9.97%	1995
5	6	20th Century Fox	15	$410,787,635	94,433,933	7.73%	1995
6	7	MGM	19	$333,155,248	76,587,403	6.27%	1995
7	8	New Line	16	$331,897,897	76,298,359	6.25%	1995
8	9	Miramax	38	$186,292,656	42,825,880	3.51%	1995
9	10	Savoy	9	$65,459,506	15,048,158	1.23%	1995
10	11	IMAX Films	1	$64,800,000	14,896,551	1.22%	1995
11	12	Gramercy	15	$59,488,898	13,675,600	1.12%	1995
12	13	Sony Pictures Classics	14	$21,750,572	5,000,124	0.41%	1995
13	14	Goldwyn Entertainment	8	$20,993,601	4,826,112	0.40%	1995
14	15	Fine Line	11	$16,077,262	3,695,915	0.30%	1995
15	16	Fox Searchlight	1	$10,426,506	2,396,897	0.20%	1995
16	17	Shining Excalibur	1	$7,412,216	1,703,957	0.14%	1995
17	18	First Look	2	$6,574,185	1,511,306	0.12%	1995
18	19	October Films	5	$5,191,751	1,193,504	0.10%	1995
19	20	Orion Classics	3	$3,984,025	915,867	0.07%	1995
20	21	Sony/TriStar	2	$2,943,534	676,674	0.06%	1995
21	22	Orion Pictures	1	$2,471,351	568,126	0.05%	1995
22	23	Trimark	4	$2,061,565	473,922	0.04%	1995
23	24	Warren Miller Entertainment	1	$1,966,454	452,058	0.04%	1995
24	25	Strand	3	$872,106	200,483	0.02%	1995
25	26	New Yorker	1	$494,095	113,585	0.01%	1995
26	27	Arrow Releasing	1	$399,748	91,896	0.01%	1995
27	28	Penland	1	$381,000	87,586	0.01%	1995
28	29	Cinepix Film Properties	2	$202,974	46,660	0.00%	1995
29	30	Interfilm	1	$144,961	33,324	0.00%	1995
30	31	Rainbow Releasing	1	$138,528	31,845	0.00%	1995
31	32	IRS Releasing	2	$121,777	27,994	0.00%	1995
32	33	ISA Releasing	1	$107,528	24,719	0.00%	1995
33	34	Group 1	1	$57,595	13,240	0.00%	1995
34	35	Columbia	1	$41,628	9,569	0.00%	1995
35	36	Kino International	1	$5,490	1,262	0.00%	1995
36	37	Castle Hill Productions	1	$5,000	1,149	0.00%	1995
37	1	Walt Disney	37	$1,197,737,813	270,981,385	20.76%	1996
38	2	Warner Bros.	29	$909,761,563	205,828,394	15.77%	1996
39	3	Paramount Pictures	24	$740,924,146	167,629,885	12.84%	1996
40	4	20th Century Fox	15	$730,976,224	165,379,228	12.67%	1996
41	5	Sony Pictures	39	$613,455,899	138,790,908	10.63%	1996
42	6	Universal	18	$482,379,703	109,135,672	8.36%	1996
43	7	New Line	20	$297,962,883	67,412,408	5.17%	1996
44	8	MGM	19	$292,208,554	66,110,524	5.07%	1996
45	9	Miramax	40	$243,647,983	55,123,957	4.22%	1996
46	10	Gramercy	14	$83,450,697	18,880,240	1.45%	1996
47	11	Sony Pictures Classics	17	$40,200,823	9,095,201	0.70%	1996
48	12	Orion Pictures	5	$35,023,932	7,923,964	0.61%	1996
49	13	Miramax/Dimension	1	$25,728,961	5,821,031	0.45%	1996
50	14	Fox Searchlight	4	$19,043,456	4,308,473	0.33%	1996
51	15	Goldwyn Entertainment	7	$15,985,241	3,616,567	0.28%	1996
52	16	October Films	9	$10,776,486	2,438,114	0.19%	1996
53	17	Fine Line	7	$9,076,896	2,053,595	0.16%	1996
54	18	First Look	4	$4,545,458	1,028,382	0.08%	1996
55	19	BET Pictures	1	$2,291,255	518,383	0.04%	1996
56	20	Warren Miller Entertainment	1	$2,035,470	460,513	0.04%	1996
57	21	Kit Parker Films	1	$1,229,715	278,216	0.02%	1996
58	22	Cinepix Film Properties	5	$1,185,497	268,209	0.02%	1996
59	23	Orion Classics	2	$1,080,501	244,456	0.02%	1996
60	24	Northern Arts Entertainment	3	$969,699	219,388	0.02%	1996
61	25	Lionsgate	1	$852,362	192,842	0.01%	1996
62	26	FM Entertainment International	1	$684,351	154,830	0.01%	1996
63	27	Alliance Films	1	$575,001	130,090	0.01%	1996
64	28	Filmopolis Pictures	1	$555,900	125,769	0.01%	1996
65	29	Rainbow Releasing	1	$510,271	115,445	0.01%	1996
66	30	Palm Pictures	1	$443,579	100,357	0.01%	1996
67	31	Columbia	1	$378,678	85,673	0.01%	1996
68	32	New Yorker	2	$343,987	77,824	0.01%	1996
69	33	Artistic License	1	$337,560	76,371	0.01%	1996
70	34	Discovery/IMAX	1	$321,070	72,640	0.01%	1996
71	35	Strand	3	$314,602	71,176	0.01%	1996
72	36	Roxie Releasing	1	$295,493	66,853	0.01%	1996
73	37	Legacy Releasing	3	$269,399	60,949	0.00%	1996
74	38	Paulist Pictures	1	$225,161	50,941	0.00%	1996
75	39	Savoy	1	$197,322	44,642	0.00%	1996
76	40	Spelling Films	1	$185,170	41,893	0.00%	1996
77	41	Trimark	1	$5,000	1,131	0.00%	1996
78	42	Kino International	1	$5,000	1,131	0.00%	1996
79	43	Castle Hill Productions	1	$5,000	1,131	0.00%	1996
80	44	JeTi Films	1	$527	119	0.00%	1996
81	1	Sony Pictures	36	$1,269,256,493	276,526,450	19.96%	1997
82	2	Paramount Pictures	27	$889,415,108	193,772,340	13.99%	1997
83	3	Walt Disney	33	$885,889,269	193,004,183	13.93%	1997
84	4	Warner Bros.	30	$670,912,791	146,168,351	10.55%	1997
85	5	20th Century Fox	21	$644,398,839	140,391,895	10.13%	1997
86	6	Universal	13	$614,947,075	133,975,392	9.67%	1997
87	7	Miramax	33	$423,765,378	92,323,596	6.66%	1997
88	8	New Line	19	$334,211,383	72,812,928	5.26%	1997
89	9	MGM	12	$170,632,351	37,174,799	2.68%	1997
90	10	Dreamworks SKG	3	$108,096,369	23,550,405	1.70%	1997
91	11	Gramercy	14	$75,550,740	16,459,850	1.19%	1997
92	12	Fox Searchlight	10	$49,861,834	10,863,139	0.78%	1997
93	13	Polygram	2	$48,270,581	10,516,466	0.76%	1997
94	14	Fine Line	12	$39,276,182	8,556,897	0.62%	1997
95	15	Trimark	7	$29,963,585	6,528,010	0.47%	1997
96	16	Sony Pictures Classics	19	$21,998,981	4,792,797	0.35%	1997
97	17	October Films	10	$18,737,992	4,082,344	0.29%	1997
98	18	Live Entertainment	2	$15,740,109	3,429,217	0.25%	1997
99	19	Orion Pictures	4	$13,799,249	3,006,371	0.22%	1997
100	20	Lionsgate	3	$5,220,478	1,137,357	0.08%	1997
101	21	Sony/TriStar	2	$4,012,889	874,266	0.06%	1997
102	22	Vestron	1	$2,868,135	624,866	0.05%	1997
103	23	New Yorker	7	$2,304,077	501,974	0.04%	1997
104	24	Warren Miller Entertainment	1	$2,287,639	498,396	0.04%	1997
105	25	Legacy Releasing	5	$2,061,610	449,151	0.03%	1997
106	26	Distributor Unknown	1	$1,851,655	403,410	0.03%	1997
107	27	Goldwyn Entertainment	6	$1,822,105	396,971	0.03%	1997
108	28	Arrow Releasing	1	$1,351,319	294,405	0.02%	1997
109	29	Orion Classics	2	$841,696	183,375	0.01%	1997
110	30	First Look	5	$825,797	179,910	0.01%	1997
111	31	Strand	7	$799,818	174,249	0.01%	1997
112	32	Kit Parker Films	1	$793,112	172,791	0.01%	1997
113	33	Zeitgeist	2	$593,913	129,391	0.01%	1997
114	34	Cinepix Film Properties	2	$569,507	124,075	0.01%	1997
115	35	Rialto Pictures	1	$528,428	115,125	0.01%	1997
116	36	Northern Arts Entertainment	6	$316,681	68,991	0.00%	1997
117	37	First Run Features	3	$278,084	60,584	0.00%	1997
118	38	Embassy	1	$75,702	16,492	0.00%	1997
119	39	Seventh Art Releasing	1	$18,665	4,066	0.00%	1997
120	40	Roxie Releasing	1	$12,836	2,796	0.00%	1997
121	41	Avalanche Releasing	1	$11,251	2,451	0.00%	1997
122	42	Castle Hill Productions	2	$10,000	2,178	0.00%	1997
123	43	Shadow	1	$5,000	1,089	0.00%	1997
124	44	Phaedra Cinema	1	$5,000	1,089	0.00%	1997
125	1	Walt Disney	28	$1,109,009,676	236,462,602	16.38%	1998
126	2	Paramount Pictures	19	$1,046,011,656	223,030,194	15.45%	1998
127	3	Warner Bros.	31	$758,468,077	161,720,256	11.20%	1998
128	4	20th Century Fox	19	$729,639,504	155,573,445	10.78%	1998
129	5	Sony Pictures	37	$684,267,457	145,899,229	10.11%	1998
130	6	New Line	17	$518,917,489	110,643,379	7.66%	1998
131	7	Dreamworks SKG	7	$467,963,255	99,778,942	6.91%	1998
132	8	Universal	19	$400,605,109	85,416,858	5.92%	1998
133	9	Miramax	40	$394,840,826	84,187,789	5.83%	1998
134	10	MGM	16	$189,039,838	40,306,995	2.79%	1998
135	11	Polygram	6	$100,959,041	21,526,446	1.49%	1998
136	12	MacGillivray Freeman Films	1	$66,877,098	14,259,509	0.99%	1998
137	13	Sony/TriStar	3	$58,993,028	12,578,470	0.87%	1998
138	14	Sony Pictures Classics	20	$45,583,526	9,719,292	0.67%	1998
139	15	Gramercy	11	$44,163,931	9,416,611	0.65%	1998
140	16	October Films	11	$28,822,836	6,145,588	0.43%	1998
141	17	Fox Searchlight	8	$23,155,177	4,937,134	0.34%	1998
142	18	Artisan	8	$22,476,640	4,792,457	0.33%	1998
143	19	Trimark	9	$14,015,798	2,988,438	0.21%	1998
144	20	Fine Line	8	$12,620,908	2,691,021	0.19%	1998
145	21	Lionsgate	15	$9,176,891	1,956,687	0.14%	1998
146	22	Live Film & Mediaworks	1	$6,754,958	1,440,289	0.10%	1998
147	23	Discovery/IMAX	1	$4,119,728	878,406	0.06%	1998
148	24	First Look	2	$3,637,502	775,585	0.05%	1998
149	25	IMAX Films	2	$3,526,086	751,830	0.05%	1998
150	26	Live Entertainment	2	$3,389,614	722,731	0.05%	1998
151	27	Distributor Unknown	1	$2,750,686	586,500	0.04%	1998
152	28	Warren Miller Entertainment	1	$2,750,064	586,367	0.04%	1998
153	29	Stratosphere Entertainment	4	$2,643,035	563,545	0.04%	1998
154	30	Good Machine Releasing	1	$2,635,624	561,966	0.04%	1998
155	31	Lorimar Motion Pictures	1	$1,547,397	329,935	0.02%	1998
156	32	Strand	9	$1,451,670	309,520	0.02%	1998
157	33	Legacy Releasing	7	$1,320,828	281,623	0.02%	1998
158	34	Alliance Films	2	$1,065,180	227,116	0.02%	1998
159	35	New Yorker	6	$885,961	188,902	0.01%	1998
160	36	Rainbow Releasing	1	$821,997	175,265	0.01%	1998
161	37	Rialto Pictures	1	$752,045	160,350	0.01%	1998
162	38	Goldwyn Entertainment	2	$574,877	122,574	0.01%	1998
163	39	Artistic License	4	$554,686	118,268	0.01%	1998
164	40	Roxie Releasing	1	$441,808	94,202	0.01%	1998
165	41	Orion Pictures	2	$422,709	90,129	0.01%	1998
166	42	First Run Features	4	$348,168	74,234	0.01%	1998
167	43	Zeitgeist	5	$338,755	72,227	0.01%	1998
168	44	Leisure Time Features	1	$316,872	67,563	0.00%	1998
169	45	RS Entertainment	1	$189,635	40,433	0.00%	1998
170	46	Palm Pictures	1	$126,722	27,019	0.00%	1998
171	47	Atlantic	1	$84,744	18,069	0.00%	1998
172	48	Phaedra Cinema	1	$62,626	13,353	0.00%	1998
173	49	Kino International	2	$61,818	13,180	0.00%	1998
174	50	Empire Pictures	1	$56,158	11,973	0.00%	1998
175	51	Castle Hill Productions	5	$19,447	4,144	0.00%	1998
176	52	Attitude Films	1	$16,556	3,530	0.00%	1998
177	53	Cowboy Pictures	1	$15,631	3,332	0.00%	1998
178	54	Northern Arts Entertainment	2	$10,000	2,132	0.00%	1998
179	55	WinStar Cinema	1	$5,951	1,268	0.00%	1998
180	56	Avalanche Releasing	1	$5,000	1,066	0.00%	1998
181	57	Margin Films	1	$2,194	467	0.00%	1998
182	58	Shadow	1	$783	166	0.00%	1998
183	1	Walt Disney	30	$1,244,033,523	244,888,472	16.95%	1999
184	2	Warner Bros.	25	$1,042,641,425	205,244,361	14.21%	1999
185	3	Universal	23	$934,514,419	183,959,519	12.73%	1999
186	4	Paramount Pictures	21	$848,754,297	167,077,607	11.57%	1999
187	5	20th Century Fox	23	$800,943,593	157,666,048	10.91%	1999
188	6	Sony Pictures	37	$638,293,197	125,648,250	8.70%	1999
189	7	Dreamworks SKG	9	$324,861,572	63,949,122	4.43%	1999
190	8	Miramax	38	$316,431,179	62,289,586	4.31%	1999
191	9	MGM	14	$310,129,710	61,049,148	4.23%	1999
192	10	New Line	14	$302,421,532	59,531,791	4.12%	1999
193	11	Artisan	16	$191,285,321	37,654,584	2.61%	1999
194	12	Lionsgate	16	$63,436,094	12,487,412	0.86%	1999
195	13	October Films	9	$41,416,362	8,152,823	0.56%	1999
196	14	Sony/TriStar	1	$41,012,827	8,073,391	0.56%	1999
197	15	IMAX Films	6	$39,766,350	7,828,019	0.54%	1999
198	16	Gramercy	5	$32,043,205	6,307,714	0.44%	1999
199	17	Sony Pictures Classics	17	$26,333,037	5,183,660	0.36%	1999
200	18	USA Films	8	$19,924,947	3,922,230	0.27%	1999
201	19	Fox Searchlight	7	$19,421,804	3,823,186	0.26%	1999
202	20	MacGillivray Freeman Films	1	$18,064,450	3,555,994	0.25%	1999
203	21	Providence Entertainment	1	$12,276,200	2,416,574	0.17%	1999
204	22	Fine Line	9	$7,421,500	1,460,921	0.10%	1999
205	23	Discovery/IMAX	1	$7,049,211	1,387,639	0.10%	1999
206	24	Stratosphere Entertainment	9	$5,827,200	1,147,083	0.08%	1999
207	25	Eros Entertainment	6	$5,015,082	987,220	0.07%	1999
208	26	Trimark	5	$4,921,124	968,723	0.07%	1999
209	27	Primesco	2	$4,702,896	925,766	0.06%	1999
210	28	New Yorker	11	$4,441,215	874,249	0.06%	1999
211	29	nWave Pictures	1	$4,269,548	840,462	0.06%	1999
212	30	Warren Miller Entertainment	1	$3,328,240	655,165	0.05%	1999
213	31	Independent Artists	1	$2,793,776	549,955	0.04%	1999
214	32	Shadow	1	$2,297,017	452,168	0.03%	1999
215	33	Strand	15	$2,227,484	438,475	0.03%	1999
216	34	Distributor Unknown	2	$1,649,060	324,617	0.02%	1999
217	35	Goldwyn Entertainment	5	$1,413,515	278,249	0.02%	1999
218	36	Paramount Vantage	4	$1,356,114	266,950	0.02%	1999
219	37	Video Sound	3	$1,322,737	260,381	0.02%	1999
220	38	Artistic License	6	$1,193,380	234,914	0.02%	1999
221	39	Rialto Pictures	2	$912,399	179,605	0.01%	1999
222	40	Zeitgeist	6	$886,715	174,547	0.01%	1999
223	41	Alliance Films	1	$641,624	126,303	0.01%	1999
224	42	Cowboy Pictures	5	$412,198	81,140	0.01%	1999
225	43	Kino International	6	$241,696	47,576	0.00%	1999
226	44	WinStar Cinema	1	$167,773	33,026	0.00%	1999
227	45	Cinecom	1	$148,443	29,221	0.00%	1999
228	46	First Run Features	8	$121,836	23,980	0.00%	1999
229	47	Phaedra Cinema	11	$115,916	22,812	0.00%	1999
230	48	Good Machine Releasing	1	$110,829	21,816	0.00%	1999
231	49	Shooting Gallery	1	$92,569	18,222	0.00%	1999
232	50	Palm Pictures	2	$87,725	17,268	0.00%	1999
233	51	Lot 47 Films	1	$57,291	11,277	0.00%	1999
234	52	Seventh Art Releasing	1	$51,282	10,094	0.00%	1999
235	53	Legacy Releasing	2	$38,945	7,665	0.00%	1999
236	54	Roxie Releasing	1	$32,606	6,418	0.00%	1999
237	55	Regent Releasing	2	$31,733	6,246	0.00%	1999
238	56	Avalanche Releasing	1	$20,416	4,018	0.00%	1999
239	57	First Look	1	$9,829	1,934	0.00%	1999
240	58	Castle Hill Productions	2	$6,829	1,343	0.00%	1999
241	59	Margin Films	1	$1,565	308	0.00%	1999
242	1	Walt Disney	28	$1,111,156,845	206,151,531	14.75%	2000
243	2	Universal	21	$1,070,765,560	198,657,793	14.22%	2000
244	3	Warner Bros.	28	$888,590,005	164,858,983	11.80%	2000
245	4	Paramount Pictures	19	$785,491,260	145,731,207	10.43%	2000
246	5	Dreamworks SKG	12	$769,106,269	142,691,323	10.21%	2000
247	6	20th Century Fox	22	$730,393,108	135,508,916	9.70%	2000
248	7	Sony Pictures	31	$682,786,474	126,676,511	9.06%	2000
249	8	New Line	17	$373,949,533	69,378,384	4.96%	2000
250	9	Miramax	27	$307,697,254	57,086,676	4.09%	2000
251	10	Miramax/Dimension	2	$169,820,961	31,506,670	2.25%	2000
252	11	MGM	12	$104,302,941	19,351,189	1.38%	2000
253	12	USA Films	12	$83,654,065	15,520,229	1.11%	2000
254	13	Artisan	11	$73,010,105	13,545,470	0.97%	2000
255	14	MacGillivray Freeman Films	2	$56,237,051	10,433,589	0.75%	2000
256	15	Destination Films	5	$55,116,326	10,225,661	0.73%	2000
257	16	Sony Pictures Classics	22	$50,512,602	9,371,527	0.67%	2000
258	17	IMAX Films	6	$30,072,082	5,579,233	0.40%	2000
259	18	Lionsgate	16	$29,868,468	5,541,453	0.40%	2000
260	19	Focus Features	5	$20,843,017	3,866,976	0.28%	2000
261	20	Fine Line	10	$20,406,334	3,785,957	0.27%	2000
262	21	Fox Searchlight	4	$17,233,980	3,197,397	0.23%	2000
263	22	Paramount Vantage	6	$16,171,312	3,000,241	0.21%	2000
264	23	Giant Screen Films	1	$14,348,353	2,662,032	0.19%	2000
265	24	Shooting Gallery	5	$6,881,926	1,276,793	0.09%	2000
266	25	Trimark	2	$4,975,450	923,088	0.07%	2000
267	26	nWave Pictures	2	$4,157,498	771,335	0.06%	2000
268	27	Roxie Releasing	3	$3,655,814	678,257	0.05%	2000
269	28	Primesco	2	$3,036,798	563,412	0.04%	2000
270	29	Alliance Films	4	$2,920,513	541,837	0.04%	2000
271	30	Excel Entertainment	1	$2,637,726	489,374	0.04%	2000
272	31	Phaedra Cinema	10	$2,481,973	460,471	0.03%	2000
273	32	Discovery/IMAX	1	$2,197,561	407,710	0.03%	2000
274	33	Cowboy Pictures	5	$1,906,894	353,782	0.03%	2000
275	34	Yash Raj Films	2	$1,660,000	307,976	0.02%	2000
276	35	Keystone Entertainment	1	$1,248,746	231,678	0.02%	2000
277	36	Eros Entertainment	4	$1,215,181	225,450	0.02%	2000
278	37	Rainforest Productions	1	$1,161,843	215,555	0.02%	2000
279	38	Indican Pictures	5	$1,155,029	214,289	0.02%	2000
280	39	New Yorker	8	$1,101,389	204,336	0.01%	2000
281	40	Zeitgeist	3	$1,048,444	194,515	0.01%	2000
282	41	Empire Pictures	2	$914,837	169,727	0.01%	2000
283	42	Hombre de Oro	1	$886,410	164,454	0.01%	2000
284	43	Kino International	3	$807,937	149,894	0.01%	2000
285	44	October Films	1	$743,115	137,869	0.01%	2000
286	45	Cho Taussig Prods.	1	$679,695	126,102	0.01%	2000
287	46	Video Sound	1	$623,791	115,731	0.01%	2000
288	47	First Look	2	$583,416	108,239	0.01%	2000
289	48	Rialto Pictures	3	$480,554	89,155	0.01%	2000
290	49	First Run Features	3	$409,044	75,888	0.01%	2000
291	50	Seventh Art Releasing	4	$388,952	72,160	0.01%	2000
292	51	Castle Hill Productions	4	$388,576	72,091	0.01%	2000
293	52	WellSpring	1	$371,457	68,915	0.00%	2000
294	53	Strand	9	$347,683	64,502	0.00%	2000
295	54	Providence Entertainment	1	$334,352	62,031	0.00%	2000
296	55	Goldwyn Entertainment	2	$267,006	49,537	0.00%	2000
297	56	WinStar Cinema	2	$237,489	44,060	0.00%	2000
298	57	Lot 47 Films	2	$211,463	39,232	0.00%	2000
299	58	ArtMattan Productions	2	$62,199	11,539	0.00%	2000
300	59	Films Around the World	1	$51,753	9,601	0.00%	2000
301	60	Arrow Releasing	2	$27,107	5,028	0.00%	2000
302	61	Artistic License	2	$23,174	4,299	0.00%	2000
303	62	Avatar	1	$14,445	2,679	0.00%	2000
304	63	Samuel Goldwyn Films	1	$5,518	1,023	0.00%	2000
305	64	Avalanche Releasing	1	$3,077	570	0.00%	2000
306	65	Picture This Entertainment	1	$1,551	287	0.00%	2000
307	1	Warner Bros.	31	$1,232,663,479	217,785,054	14.75%	2001
308	2	Universal	17	$948,895,186	167,649,317	11.36%	2001
309	3	Paramount Pictures	18	$914,413,744	161,557,191	10.94%	2001
310	4	Walt Disney	19	$901,680,342	159,307,472	10.79%	2001
311	5	20th Century Fox	20	$862,854,286	152,447,744	10.33%	2001
312	6	Sony Pictures	28	$731,442,580	129,230,121	8.75%	2001
313	7	New Line	13	$612,290,818	108,178,584	7.33%	2001
314	8	MGM	14	$448,357,571	79,215,113	5.37%	2001
315	9	Miramax	31	$436,924,421	77,195,115	5.23%	2001
316	10	Dreamworks SKG	8	$400,158,761	70,699,424	4.79%	2001
317	11	Miramax/Dimension	3	$214,028,868	37,814,286	2.56%	2001
318	12	USA Films	5	$139,196,941	24,593,095	1.67%	2001
319	13	Sony Pictures Classics	15	$136,897,646	24,186,856	1.64%	2001
320	14	Lionsgate	16	$54,191,780	9,574,510	0.65%	2001
321	15	Fox Searchlight	5	$45,316,400	8,006,430	0.54%	2001
322	16	Newmarket Films	2	$25,968,111	4,588,005	0.31%	2001
323	17	Paramount Vantage	9	$22,742,139	4,018,042	0.27%	2001
324	18	IMAX Films	8	$18,769,800	3,316,216	0.22%	2001
325	19	Fine Line	4	$16,445,730	2,905,604	0.20%	2001
326	20	Artisan	6	$13,602,111	2,403,198	0.16%	2001
327	21	Focus Features	6	$9,159,594	1,618,300	0.11%	2001
328	22	IDP Distribution	4	$8,779,086	1,551,073	0.11%	2001
329	23	Screen Media Films	1	$8,434,601	1,490,212	0.10%	2001
330	24	8X Entertainment	2	$7,791,554	1,376,599	0.09%	2001
331	25	WGBH Giant-Screen Films	1	$6,683,025	1,180,746	0.08%	2001
332	26	First Look	4	$6,186,669	1,093,049	0.07%	2001
333	27	nWave Pictures	3	$4,967,214	877,598	0.06%	2001
334	28	United Artists	1	$4,626,290	817,365	0.06%	2001
335	29	Giant Screen Films	1	$4,293,965	758,651	0.05%	2001
336	30	Cloud Ten Pictures	1	$4,221,341	745,819	0.05%	2001
337	31	Kino International	2	$3,028,583	535,084	0.04%	2001
338	32	Yash Raj Films	1	$2,862,000	505,653	0.03%	2001
339	33	IFC Films	4	$2,570,925	454,225	0.03%	2001
340	34	Power Point Films	1	$2,310,714	408,253	0.03%	2001
341	35	Purple Rose Films	1	$2,276,406	402,191	0.03%	2001
342	36	WellSpring	2	$2,209,986	390,456	0.03%	2001
343	37	Cowboy Pictures	3	$1,949,561	344,444	0.02%	2001
344	38	Lot 47 Films	3	$1,928,000	340,635	0.02%	2001
345	39	Really Big Film Corp.	1	$1,688,717	298,359	0.02%	2001
346	40	Excel Entertainment	2	$1,511,758	267,094	0.02%	2001
347	41	Seville	1	$1,238,180	218,759	0.01%	2001
348	42	Providence Entertainment	2	$1,095,320	193,519	0.01%	2001
349	43	Menemsha Entertainment	1	$1,079,006	190,637	0.01%	2001
350	44	WinStar Cinema	2	$1,017,088	179,696	0.01%	2001
351	45	Eros Entertainment	2	$986,207	174,241	0.01%	2001
352	46	Castle Hill Productions	2	$942,540	166,525	0.01%	2001
353	47	Set Pictures	1	$835,767	147,662	0.01%	2001
354	48	Zeitgeist	3	$815,612	144,100	0.01%	2001
355	49	Empire Pictures	3	$757,715	133,871	0.01%	2001
356	50	Roxie Releasing	2	$727,942	128,611	0.01%	2001
357	51	Tips Exports	1	$645,615	114,066	0.01%	2001
358	52	Access Motion Picture Group	1	$638,227	112,760	0.01%	2001
359	53	Avatar	5	$619,785	109,501	0.01%	2001
360	54	Cho Taussig Prods.	1	$531,272	93,864	0.01%	2001
361	55	New Yorker	5	$421,902	74,538	0.01%	2001
362	56	Strand	5	$342,590	60,526	0.00%	2001
363	57	Phaedra Cinema	1	$207,990	36,747	0.00%	2001
364	58	Rialto Pictures	2	$198,802	35,123	0.00%	2001
365	59	TLA Releasing	1	$186,571	32,963	0.00%	2001
366	60	Regent Releasing	2	$150,168	26,531	0.00%	2001
367	61	Jour de Fete	1	$144,765	25,576	0.00%	2001
368	62	Shooting Gallery	1	$143,542	25,360	0.00%	2001
369	63	Indican Pictures	4	$135,161	23,878	0.00%	2001
370	64	Alliance Films	1	$124,092	21,924	0.00%	2001
371	65	Discovery/IMAX	1	$118,955	21,016	0.00%	2001
372	66	Vitagraph Films	1	$110,776	19,571	0.00%	2001
373	67	Samuel Goldwyn Films	1	$94,940	16,773	0.00%	2001
374	68	Attitude Films	1	$48,602	8,586	0.00%	2001
375	69	First Run Features	1	$46,296	8,179	0.00%	2001
376	70	Artistic License	2	$41,349	7,304	0.00%	2001
377	71	Triumph Releasing	1	$41,010	7,245	0.00%	2001
378	72	Avalanche Releasing	1	$33,565	5,930	0.00%	2001
379	73	Pathe Contemporary Films	1	$29,855	5,274	0.00%	2001
380	74	Myriad Entertainment Group	1	$20,840	3,681	0.00%	2001
381	75	Equinox	1	$20,610	3,641	0.00%	2001
382	76	ArtMattan Productions	2	$17,731	3,132	0.00%	2001
383	77	Films Around the World	1	$15,711	2,775	0.00%	2001
384	1	Sony Pictures	32	$1,554,048,733	267,478,253	16.97%	2002
385	2	Walt Disney	28	$1,175,098,032	202,254,380	12.84%	2002
386	3	Warner Bros.	30	$1,061,821,381	182,757,538	11.60%	2002
387	4	20th Century Fox	23	$981,440,569	168,922,633	10.72%	2002
388	5	Universal	20	$884,893,161	152,305,180	9.67%	2002
389	6	New Line	12	$880,698,528	151,583,217	9.62%	2002
390	7	Paramount Pictures	25	$673,939,881	115,996,523	7.36%	2002
391	8	Dreamworks SKG	7	$513,651,256	88,408,129	5.61%	2002
392	9	MGM	22	$368,388,691	63,405,959	4.02%	2002
393	10	Miramax	32	$248,930,830	42,845,220	2.72%	2002
394	11	IFC Films	7	$242,257,336	41,696,612	2.65%	2002
395	12	Miramax/Dimension	5	$130,303,083	22,427,378	1.42%	2002
396	13	Fox Searchlight	6	$77,554,449	13,348,439	0.85%	2002
397	14	Lionsgate	11	$68,159,341	11,731,379	0.74%	2002
398	15	Artisan	7	$54,934,765	9,455,206	0.60%	2002
399	16	USA Films	3	$53,506,478	9,209,375	0.58%	2002
400	17	IMAX Films	8	$40,974,642	7,052,430	0.45%	2002
401	18	Focus Features	6	$26,848,021	4,620,998	0.29%	2002
402	19	Sony Pictures Classics	18	$21,788,436	3,750,152	0.24%	2002
403	20	WGBH Giant-Screen Films	1	$6,996,294	1,204,181	0.08%	2002
404	21	Paramount Vantage	8	$5,716,567	983,914	0.06%	2002
405	22	Newmarket Films	2	$5,455,679	939,014	0.06%	2002
406	23	Screen Media Films	1	$5,204,007	895,698	0.06%	2002
407	24	Excel Entertainment	2	$4,655,625	801,312	0.05%	2002
408	25	Goldwyn Entertainment	1	$4,558,301	784,561	0.05%	2002
409	26	Magnolia Pictures	3	$4,072,550	700,953	0.04%	2002
410	27	Lot 47 Films	3	$3,845,079	661,802	0.04%	2002
411	28	Outrider Pictures	8	$3,434,895	591,199	0.04%	2002
412	29	nWave Pictures	3	$3,101,658	533,847	0.03%	2002
413	30	Rat Entertainment	1	$3,042,188	523,612	0.03%	2002
414	31	Kino International	5	$2,998,779	516,138	0.03%	2002
415	32	ThinkFilm	3	$2,829,734	487,045	0.03%	2002
416	33	Palm Pictures	1	$2,628,241	452,365	0.03%	2002
417	34	WellSpring	4	$2,095,777	360,717	0.02%	2002
418	35	Fine Line	3	$1,778,018	306,025	0.02%	2002
419	36	Cowboy Pictures	5	$1,771,245	304,859	0.02%	2002
420	37	Odeon Films	1	$1,691,000	291,049	0.02%	2002
421	38	Samuel Goldwyn Films	1	$1,397,734	240,573	0.02%	2002
422	39	Halestorm Entertainment	1	$1,250,798	215,283	0.01%	2002
423	40	Avatar	1	$1,195,412	205,750	0.01%	2002
